city1,city2,actual_fare,predicted_fare,pct_diff,suggested_alternatives
"Boston, MA (Metropolitan Area)","Bozeman, MT",336.19,292.30899526178837,0.15011855758633885,"Seattle, WA;Seattle, WA;Seattle, WA"
"Bozeman, MT","New York City, NY (Metropolitan Area)",390.82,336.2900474816561,0.16215155020702304,"Washington, DC (Metropolitan Area);Washington, DC (Metropolitan Area);Phoenix, AZ"
"Buffalo, NY","New York City, NY (Metropolitan Area)",193.72,162.50519639253616,0.19208495666848427,"Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Cedar Rapids/Iowa City, IA","Denver, CO",185.97,156.16916352510452,0.19082407693183892,"Punta Gorda, FL;Punta Gorda, FL;Tampa, FL (Metropolitan Area)"
"Charlotte, NC","West Palm Beach/Palm Beach, FL",326.99,272.47107833623886,0.20009067383101442,"Las Vegas, NV;San Francisco, CA (Metropolitan Area);Sacramento, CA"
"Charlotte, NC","Denver, CO",271.19,232.57063414156437,0.16605435162088542,"Las Vegas, NV;San Francisco, CA (Metropolitan Area);Sacramento, CA"
"Charlotte, NC","Houston, TX",272.75,234.30848598480225,0.16406368661223458,"Las Vegas, NV;San Francisco, CA (Metropolitan Area);Sacramento, CA"
"Charlotte, NC","Tampa, FL (Metropolitan Area)",251.74,203.19837230443954,0.23888787663531846,"Las Vegas, NV;San Francisco, CA (Metropolitan Area);Sacramento, CA"
"Chicago, IL","Salt Lake City, UT",333.33,286.08768850564957,0.16513227724379162,"Seattle, WA;Los Angeles, CA (Metropolitan Area);San Francisco, CA (Metropolitan Area)"
"Chicago, IL","Fort Myers, FL",286.06,232.80516147613525,0.22875282569421845,"Seattle, WA;Los Angeles, CA (Metropolitan Area);San Francisco, CA (Metropolitan Area)"
"Chicago, IL","Salt Lake City, UT",327.77,280.74608750641346,0.1674962344489032,"Seattle, WA;Los Angeles, CA (Metropolitan Area);San Francisco, CA (Metropolitan Area)"
"Chicago, IL","El Paso, TX",283.32,228.65265734493732,0.23908465919376326,"Seattle, WA;Los Angeles, CA (Metropolitan Area);San Francisco, CA (Metropolitan Area)"
"Cincinnati, OH","Philadelphia, PA",364.1,286.31617015600204,0.2716711033177649,"Seattle, WA;Las Vegas, NV;Las Vegas, NV"
"Cincinnati, OH","Houston, TX",313.26,271.9674459695816,0.15182903190199015,"Seattle, WA;Las Vegas, NV;Las Vegas, NV"
"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)",358.54,261.1613318324089,0.3728678647958514,"Seattle, WA;Las Vegas, NV;Las Vegas, NV"
"Cincinnati, OH","Seattle, WA",251.79,218.54229725897312,0.15213394916238235,"Las Vegas, NV;Las Vegas, NV;Punta Gorda, FL"
"Cleveland, OH (Metropolitan Area)","Nashville, TN",223.8,191.41212463378906,0.16920493113054172,"Las Vegas, NV;Las Vegas, NV;Las Vegas, NV"
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",210.33,179.4581398665905,0.1720281964159425,"Las Vegas, NV;Las Vegas, NV;Las Vegas, NV"
"Cleveland, OH (Metropolitan Area)","Dallas/Fort Worth, TX",299.39,255.82432919740677,0.1702952605769398,"Las Vegas, NV;Las Vegas, NV;Las Vegas, NV"
"Columbus, OH","Houston, TX",321.55,274.615079164505,0.1709116665344483,"Seattle, WA;Seattle, WA;Seattle, WA"
"Columbus, OH","Philadelphia, PA",348.36,298.3623570203781,0.16757356215753139,"Seattle, WA;Seattle, WA;Seattle, WA"
"Columbus, OH","New York City, NY (Metropolitan Area)",232.28,198.09172502160072,0.1725881026815797,"Seattle, WA;Seattle, WA;Seattle, WA"
"Columbus, OH","New York City, NY (Metropolitan Area)",223.09,189.84980982542038,0.1750867709856871,"Seattle, WA;Seattle, WA;Seattle, WA"
"Columbus, OH","Minneapolis/St. Paul, MN",319.31,264.36751186847687,0.20782617252477334,"Seattle, WA;Seattle, WA;Seattle, WA"
