city1,city2,median_pred,median_dist,n,pred_per_mile
"Salt Lake City, UT","San Antonio, TX",287.7595409154892,1087.0,14,0.2647281885147095
"Dallas/Fort Worth, TX","Richmond, VA",306.8518651127815,1158.0,14,0.2649843394756317
"Cincinnati, OH","Houston, TX",235.01477187871933,886.0,14,0.2652536928653717
"Charleston, SC","New York City, NY (Metropolitan Area)",176.7194005548954,666.0,14,0.26534444527762074
"Phoenix, AZ","Tulsa, OK",248.31800915300846,935.0,12,0.26558075845241547
"Atlanta, GA (Metropolitan Area)","San Antonio, TX",232.2398485839367,874.0,14,0.2657206505537033
"Colorado Springs, CO","Houston, TX",221.39808616042137,829.0,1,0.26706644892692566
"Kalispell, MT","Los Angeles, CA (Metropolitan Area)",274.52179285883904,1027.0,3,0.26730456948280334
"New York City, NY (Metropolitan Area)","Pensacola, FL",284.37088826298714,1063.0,8,0.2675172984600067
"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",239.8576259613037,896.0,14,0.2676982432603836
"Atlanta, GA (Metropolitan Area)","Houston, TX",186.50848603248596,696.0,14,0.2679719626903534
"Denver, CO","Fresno, CA",226.2564228773117,844.0,6,0.2680763304233551
"Hartford, CT","Minneapolis/St. Paul, MN",281.759212911129,1050.0,9,0.26834210753440857
"Fayetteville, AR","New York City, NY (Metropolitan Area)",311.0679647773504,1159.0,14,0.268393412232399
"Charlotte, NC","Dallas/Fort Worth, TX",251.32379686832428,936.0,14,0.26850832998752594
"Minneapolis/St. Paul, MN","Raleigh/Durham, NC",263.86312156915665,980.0,14,0.2692480832338333
"Minneapolis/St. Paul, MN","Philadelphia, PA",264.3486613035202,980.0,14,0.26974353194236755
"Jacksonville, FL","St. Louis, MO",203.14717510342598,753.0,2,0.26978376507759094
"Denver, CO","Little Rock, AR",208.14304406940937,771.0,12,0.2699650377035141
"Palm Springs, CA","Portland, OR",235.84938472509384,873.0,11,0.27015966176986694
"Phoenix, AZ","San Antonio, TX",227.88650415837765,843.0,14,0.27032800018787384
"Des Moines, IA","Houston, TX",223.14135879278183,825.0,2,0.270474374294281
"Memphis, TN","Orlando, FL",185.21916460990906,684.0,14,0.2707882523536682
"Memphis, TN","Miami, FL (Metropolitan Area)",233.08573001623154,859.0,14,0.27134543657302856
"Milwaukee, WI","New York City, NY (Metropolitan Area)",210.83658519387245,777.0,14,0.27134695649147034
"Denver, CO","Spokane, WA",226.86658537387848,836.0,14,0.2713715136051178
"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",177.3163594454527,651.0,14,0.27237536013126373
"Fort Myers, FL","Houston, TX",234.95342878997326,861.0,10,0.2728843539953232
"Dallas/Fort Worth, TX","Pittsburgh, PA",291.20161482691765,1067.0,14,0.2729162275791168
"Fresno, CA","Seattle, WA",204.17830973863602,748.0,14,0.2729656547307968
"Dallas/Fort Worth, TX","Sarasota/Bradenton, FL",258.4041264653206,945.0,2,0.2734435200691223
"Detroit, MI","West Palm Beach/Palm Beach, FL",298.7113387584686,1086.0,9,0.27505648136138916
"Chicago, IL","Portland, ME",247.987899184227,900.0,8,0.27554211020469666
"Boise, ID","Los Angeles, CA (Metropolitan Area)",189.9254457950592,688.0,14,0.27605442702770233
"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",235.9987168163061,853.0,14,0.27666907012462616
"Los Angeles, CA (Metropolitan Area)","Medford, OR",182.84025391936302,659.0,14,0.2774510681629181
